timestamp_utc,market_slug,side,price,size,total_usd
2026-03-14 14:45:13 UTC,eth-updown-5m-1773499500,BUY,0.48,9.020832,4.33
2026-03-14 14:45:13 UTC,eth-updown-5m-1773499500,BUY,0.46,6.630433,3.05
2026-03-14 14:42:13 UTC,eth-updown-5m-1773499200,BUY,0.28,8.071427,2.26
2026-03-14 14:41:45 UTC,eth-updown-5m-1773499200,BUY,0.35,35.82857,12.54
2026-03-14 14:41:45 UTC,eth-updown-5m-1773499200,BUY,0.36,11.5,4.14
2026-03-14 14:41:39 UTC,eth-updown-5m-1773499200,BUY,0.34,5.117646,1.74
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,6.559321,3.87
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,30.338982,17.9
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.5,2.72,1.36
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,7.881353,4.65
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,8.203387,4.84
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,9.728812,5.74
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,5.338982,3.15
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.59,11.559321,6.82
2026-03-14 14:41:05 UTC,eth-updown-5m-1773499200,BUY,0.41,5.365852,2.2
2026-03-14 14:39:05 UTC,eth-updown-5m-1773498900,BUY,0.917452,6.71,6.1561
2026-03-14 14:39:05 UTC,eth-updown-5m-1773498900,BUY,0.94,6.23,5.8562
2026-03-14 14:39:03 UTC,eth-updown-5m-1773498900,BUY,0.85,6.6,5.61
2026-03-14 14:39:03 UTC,eth-updown-5m-1773498900,BUY,0.85,5.65882,4.81
2026-03-14 14:38:15 UTC,eth-updown-5m-1773498900,BUY,0.77,6.064934,4.67
2026-03-14 14:37:41 UTC,eth-updown-5m-1773498900,BUY,0.79,5.06329,4.0
2026-03-14 14:37:41 UTC,eth-updown-5m-1773498900,BUY,0.78,9.974354,7.78
2026-03-14 14:37:39 UTC,eth-updown-5m-1773498900,BUY,0.71,6.6338,4.71
2026-03-14 14:37:39 UTC,eth-updown-5m-1773498900,BUY,0.7,12.0,8.4
2026-03-14 14:37:35 UTC,eth-updown-5m-1773498900,BUY,0.65,6.584614,4.28
2026-03-14 14:37:33 UTC,eth-updown-5m-1773498900,BUY,0.66,10.22727,6.75
2026-03-14 14:37:15 UTC,eth-updown-5m-1773498900,BUY,0.38,6.605262,2.51
2026-03-14 14:37:15 UTC,eth-updown-5m-1773498900,BUY,0.36,8.06,2.9016
2026-03-14 14:37:11 UTC,eth-updown-5m-1773498900,BUY,0.62,5.838707,3.62
2026-03-14 14:36:47 UTC,eth-updown-5m-1773498900,BUY,0.5,5.0,2.5
2026-03-14 14:35:21 UTC,eth-updown-5m-1773498900,BUY,0.5,4.19,2.095
2026-03-14 14:35:11 UTC,eth-updown-5m-1773498900,BUY,0.61,7.114753,4.34
2026-03-14 14:33:59 UTC,eth-updown-5m-1773498600,BUY,0.946,26.0,24.596
2026-03-14 14:32:25 UTC,eth-updown-5m-1773498600,BUY,0.92,5.021737,4.62
2026-03-14 14:32:19 UTC,eth-updown-5m-1773498600,BUY,0.92,8.0326,7.39
2026-03-14 14:32:17 UTC,eth-updown-5m-1773498600,BUY,0.9,7.0,6.3
2026-03-14 14:32:17 UTC,eth-updown-5m-1773498600,BUY,0.92,5.152162,4.74
2026-03-14 14:32:17 UTC,eth-updown-5m-1773498600,BUY,0.91,5.3956,4.91
